InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
146859,Beverages and Catering,171583,34316.6,205900,CAD,2017-01-13
383260,IT Support,93858,18771.6,112630,CAD,2017-01-27
110539,Various paper supplies,133434,26686.8,160121,EUR,2017-01-11
933025,Professional Services,267277,53455.4,320732,CAD,2017-02-11
634770,Concierge Services,213885,42777,256662,EUR,2017-02-02
648151,Professional Services,99916,19983.2,119899,EUR,2017-03-23
507689,Waste management services,229848,45969.6,275818,RON,2017-03-13
493659,Beverages and Catering,174372,34874.4,209246,USD,2017-04-04
602587,Professional Services,273183,54636.6,327820,RON,2017-04-08
322968,Waste management services,83048,16609.6,99657.6,EUR,2017-04-24
819087,Waste management services,236425,47285,283710,CAD,2017-04-20
780036,Waste management services,230160,46032,276192,EUR,2017-04-17
582403,Professional Services,97214,19442.8,116657,CAD,2017-05-25
645105,Waste management services,277204,55440.8,332645,CAD,2017-06-24
247652,Waste management services,154206,30841.2,185047,EUR,2017-06-25
864261,Concierge Services,59115,11823,70938,CAD,2017-07-07
253305,Various paper supplies,196501,39300.2,235801,RON,2017-08-12
568535,Waste management services,172263,34452.6,206716,RON,2017-08-14
908409,Professional Services,252303,50460.6,302764,CAD,2017-09-22
646965,Beverages and Catering,86302,17260.4,103562,USD,2017-09-11
995031,Various paper supplies,4204,840.8,5044.8,USD,2017-09-02
272144,IT Support,91996,18399.2,110395,CAD,2017-10-01
873068,Professional Services,257510,51502,309012,CAD,2017-10-02
263661,Professional Services,234100,46820,280920,EUR,2017-11-08
513184,Waste management services,84130,16826,100956,CAD,2017-12-13
483594,IT Support,106968,21393.6,128362,RON,2017-12-06
