InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
430440,Waste management services,2017-01-12,34774,6954.8,41728.8,RON
580237,IT Support,2017-02-22,210955,42191,253146,CAD
301603,Concierge Services,2017-02-21,17089,3417.8,20506.8,RON
267248,IT Support,2017-03-19,164906,32981.2,197887,CAD
474934,Various paper supplies,2017-03-20,184698,36939.6,221638,CAD
356827,Concierge Services,2017-04-15,23556,4711.2,28267.2,RON
299962,Professional Services,2017-04-28,172427,34485.4,206912,CAD
757238,IT Support,2017-04-27,34156,6831.2,40987.2,USD
710716,Beverages and Catering,2017-05-16,125258,25051.6,150310,CAD
295557,IT Support,2017-05-22,98603,19720.6,118324,RON
937228,Concierge Services,2017-05-05,41157,8231.4,49388.4,USD
939949,Concierge Services,2017-06-08,134840,26968,161808,USD
353214,Waste management services,2017-06-21,166015,33203,199218,CAD
360092,IT Support,2017-06-04,256625,51325,307950,RON
284246,Beverages and Catering,2017-07-11,11557,2311.4,13868.4,USD
446817,Various paper supplies,2017-07-13,147872,29574.4,177446,USD
721445,Professional Services,2017-07-12,107177,21435.4,128612,RON
667013,Professional Services,2017-08-19,246622,49324.4,295946,EUR
541165,Concierge Services,2017-09-03,101370,20274,121644,CAD
686069,Professional Services,2017-09-02,100055,20011,120066,CAD
684551,IT Support,2017-09-25,97586,19517.2,117103,RON
104641,Professional Services,2017-10-24,176649,35329.8,211979,USD
275632,Professional Services,2017-10-22,84891,16978.2,101869,CAD
263786,Beverages and Catering,2017-12-15,53527,10705.4,64232.4,USD
