InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
900462,IT Support,2017-02-11,187614,37522.8,225137,USD
748830,Various paper supplies,2017-02-28,178210,35642,213852,CAD
430743,Waste management services,2017-02-12,121774,24354.8,146129,EUR
702318,IT Support,2017-03-14,182957,36591.4,219548,USD
232392,Concierge Services,2017-03-11,273927,54785.4,328712,EUR
515949,Beverages and Catering,2017-03-21,58442,11688.4,70130.4,RON
292600,Beverages and Catering,2017-05-26,76314,15262.8,91576.8,USD
649363,Waste management services,2017-05-11,26384,5276.8,31660.8,EUR
135123,Beverages and Catering,2017-05-18,42439,8487.8,50926.8,EUR
970096,Professional Services,2017-06-13,239624,47924.8,287549,RON
122604,Beverages and Catering,2017-06-09,149176,29835.2,179011,EUR
210575,Beverages and Catering,2017-06-10,103981,20796.2,124777,USD
608532,Concierge Services,2017-07-28,221889,44377.8,266267,CAD
797946,Various paper supplies,2017-07-02,135539,27107.8,162647,RON
107462,Waste management services,2017-07-25,126969,25393.8,152363,EUR
476726,Concierge Services,2017-07-26,210552,42110.4,252662,USD
788286,IT Support,2017-08-05,181517,36303.4,217820,RON
864875,Various paper supplies,2017-08-07,146766,29353.2,176119,USD
442725,Waste management services,2017-08-15,104510,20902,125412,RON
489736,Concierge Services,2017-09-16,79093,15818.6,94911.6,CAD
547143,Various paper supplies,2017-10-27,81007,16201.4,97208.4,USD
888886,Beverages and Catering,2017-10-02,234,46.8,280.8,CAD
155239,Concierge Services,2017-11-16,15675,3135,18810,EUR
771610,Concierge Services,2017-11-23,39447,7889.4,47336.4,CAD
102681,Concierge Services,2017-11-01,167816,33563.2,201379,USD
482454,IT Support,2017-11-19,276071,55214.2,331285,USD
417660,Various paper supplies,2017-12-23,197288,39457.6,236746,CAD
