InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
105772,Beverages and Catering,29131,5826.2,34957.2,CAD,2017-01-23
446515,IT Support,42381,8476.2,50857.2,RON,2017-01-12
909212,Concierge Services,121812,24362.4,146174,CAD,2017-01-02
910036,Waste management services,149367,29873.4,179240,CAD,2017-02-14
700883,Various paper supplies,155146,31029.2,186175,USD,2017-04-14
939653,IT Support,259452,51890.4,311342,CAD,2017-05-04
358114,Professional Services,79052,15810.4,94862.4,EUR,2017-06-19
140166,Various paper supplies,99383,19876.6,119260,USD,2017-06-20
739938,Waste management services,296934,59386.8,356321,CAD,2017-06-07
523555,Professional Services,29053,5810.6,34863.6,RON,2017-07-11
564913,Beverages and Catering,78859,15771.8,94630.8,USD,2017-08-12
996788,Waste management services,188773,37754.6,226528,EUR,2017-08-01
872964,Various paper supplies,56897,11379.4,68276.4,RON,2017-10-19
756421,Professional Services,222086,44417.2,266503,CAD,2017-11-22
737604,IT Support,9889,1977.8,11866.8,EUR,2017-12-01
907352,Various paper supplies,162279,32455.8,194735,USD,2017-12-13
