InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
173158,Various paper supplies,71021,14204.2,85225.2,EUR,2017-01-10
746271,Various paper supplies,133153,26630.6,159784,RON,2017-01-21
201276,Waste management services,174998,34999.6,209998,CAD,2017-01-13
220533,Professional Services,50374,10074.8,60448.8,USD,2017-02-10
632630,Concierge Services,250734,50146.8,300881,CAD,2017-02-08
976320,Various paper supplies,94044,18808.8,112853,USD,2017-02-02
601326,Beverages and Catering,86253,17250.6,103504,EUR,2017-03-09
623362,Waste management services,293283,58656.6,351940,EUR,2017-03-16
306788,Concierge Services,206619,41323.8,247943,CAD,2017-04-24
957785,Waste management services,34162,6832.4,40994.4,EUR,2017-04-20
939270,Waste management services,296653,59330.6,355984,RON,2017-05-10
234999,IT Support,238684,47736.8,286421,CAD,2017-05-06
959587,Concierge Services,137671,27534.2,165205,RON,2017-06-06
719588,Waste management services,186804,37360.8,224165,EUR,2017-06-22
608226,Beverages and Catering,19243,3848.6,23091.6,RON,2017-07-22
789471,Waste management services,76414,15282.8,91696.8,CAD,2017-07-01
825708,Beverages and Catering,66426,13285.2,79711.2,EUR,2017-07-14
231849,Waste management services,250262,50052.4,300314,CAD,2017-07-18
252171,Various paper supplies,161725,32345,194070,CAD,2017-07-14
393964,Beverages and Catering,25278,5055.6,30333.6,CAD,2017-08-23
353244,Professional Services,60068,12013.6,72081.6,RON,2017-08-15
442333,Waste management services,10026,2005.2,12031.2,EUR,2017-09-13
904735,Professional Services,144458,28891.6,173350,EUR,2017-09-03
782713,Professional Services,111277,22255.4,133532,USD,2017-09-10
914288,Various paper supplies,255901,51180.2,307081,CAD,2017-11-06
443549,Beverages and Catering,122339,24467.8,146807,RON,2017-11-11
132457,Concierge Services,40274,8054.8,48328.8,RON,2017-11-05
204390,IT Support,132022,26404.4,158426,RON,2017-12-05
772772,Beverages and Catering,15392,3078.4,18470.4,USD,2017-12-08
