InvoiceNumber,Item,Date,Amount,Tax,Total,Currency
597303,IT Support,2017-01-19,47715,9543,57258,USD
689521,Various paper supplies,2017-02-19,246188,49237.6,295426,CAD
988721,Concierge Services,2017-03-18,62266,12453.2,74719.2,RON
535989,Various paper supplies,2017-03-28,243833,48766.6,292600,USD
907822,Various paper supplies,2017-04-28,50910,10182,61092,CAD
895893,Various paper supplies,2017-04-21,9826,1965.2,11791.2,USD
939917,Various paper supplies,2017-04-10,92792,18558.4,111350,RON
395868,Various paper supplies,2017-05-17,24504,4900.8,29404.8,EUR
955785,IT Support,2017-05-07,244995,48999,293994,USD
961988,Professional Services,2017-06-02,185212,37042.4,222254,USD
834431,Professional Services,2017-06-20,214739,42947.8,257687,CAD
442961,Professional Services,2017-07-28,116545,23309,139854,CAD
632437,Concierge Services,2017-07-17,201437,40287.4,241724,USD
640816,IT Support,2017-07-15,214500,42900,257400,USD
466720,Waste management services,2017-08-21,3105,621,3726,RON
521844,Concierge Services,2017-08-27,270376,54075.2,324451,USD
952222,Concierge Services,2017-10-25,288624,57724.8,346349,CAD
195623,Professional Services,2017-11-04,268758,53751.6,322510,RON
